name,address,phone_number,website,description
Dr Mark Nusinoff,"203-2179 Yonge St, Toronto, ON M4S 2B1",416-488-6633,https://yongestreetdental.com/,Yonge Street Dental.
Galleria Dental | Dr. I. Costache & Associates,"1066 Bloor St W, Toronto, ON M6H 1M6",416-534-9991,https://galleriadental.ca/,"Offers wisdom teeth removal, root canal, cosmetic dentistry, teeth cleaning, and more."
Coxwell Dental Health Centre,"721 Coxwell, Toronto, ON M4C 3C3",416-463-2523,https://coxwelldental.com/,Welcome to the practice of Dr. Martin Deemar - we put smiles first.
Dr Violeta Danciu,"2329 Dundas St W, Toronto, ON M6R 1X6",416-533-4973,http://danciudentist.com/,"Experienced dentist in Toronto, Bloor and Dundas West, Roncesvalles, High Park area."
George Zarb Dentistry Professional Corporation,"2300 Yonge St, Toronto, ON M4P 1E4",416-488-1643,http://gzarbdentistry.com/,"Family Dentistry, Cosmetic Dentistry, Dental Implant, Sedation Dentistry."
Sturm Judy Dr,"77 Bloor St W, Toronto, ON M5S 1M2",416-967-4212,http://www.yorkvillesmiles.com/,Keeping your smile happy and healthy is the number one priority of Dr. Judy Sturm & Associates.
Crossways Family Dental,"2340 Dundas St W, Toronto, ON M6P 4A9",416-535-5799,,"Dr. Julia Jarvis & Dr. Krystyna Jarvis welcome you to Crossways Family Dental, serving High Park, Junction, Roncesvalles for over 30 years."
Yorkville Oral & Maxillofacial Surgery,"130 Bloor Street West, Toronto, ON M5S 1N5",416-923-2100,https://www.yorkvilleoralsurgery.com/schedule-form/,Practices a full scope of oral and maxillofacial surgery from corrective jaw surgery to wisdom tooth removal.
Dr Miriam Grushka,"2-974 Eglinton Ave W, Toronto, ON M6C 2C5",416-787-2930,http://miriamgrushka.ca/,Oral medicine specialist who graduated from Dentistry at the University of Toronto.
Borovac Dentistry,"60 Bloor St W, Toronto, ON M4W 3B8",416-922-1012,http://www.nicholaskempdentistry.com/,"Offers a comprehensive range of Hygiene Services including irrigation, polishing, desensitization and teeth whitening."
Doctor Morrow Marlene,"1916 Avenue Road, North York, ON M5M 4A1",416-256-0907,http://www.avenuedental.com/,"Avenue Dental - we believe going to the dentist should be a casual, comfortable experience."
Altima Scotia Plaza Dental Centre,"104 Yonge St, Unit 214, Toronto, ON M5C 2Y6",416-644-1122,https://www.altimadental.com/locations/scotia-plaza,A dental centre located in Toronto's Scotia Plaza offering general dentistry services.
Altima Annex Dental Centre,"201-535 Bloor St W, Toronto, ON M5S 1Y5",416-535-1167,https://www.altimadental.com/locations/annex,A dental centre in Toronto's Annex neighbourhood providing comprehensive dental care.
Altima College West Dental Centre,"979 College St, Toronto, ON M6H 1A6",416-533-5544,https://www.altimadental.com/locations/college-west,A dental centre on College Street West in Toronto offering emergency dental services.
Altima Yonge-Eglinton Dental Centre,"2300 Yonge St, #Fl 2, Toronto, ON M4P 1E4",416-322-9944,https://www.altimadental.com/locations/yonge-eglinton,A dental centre located at Yonge and Eglinton in Toronto providing dental services.
Soho Dental,"147 Spadina Ave, Toronto, ON M5V 2L7",416-340-7646,https://sohodental.ca/,A dental practice in Toronto offering teeth whitening services and general dentistry.
City Dental,"415 Yonge St, Toronto, ON M5B 2E7",416-845-5500,https://citydentaltoronto.com/,A dental clinic in downtown Toronto providing comprehensive dental care.
Park Home Dental,"5 Park Home Ave, North York, ON M2N 6L4",416-221-6333,http://parkhomedental.com/,A North York dental practice offering a full range of general and cosmetic dental services.
Dr. David Eisenstat,"201-4040 Finch Ave E, Scarborough, ON M1S 4V5",647-361-2653,http://dentistryforchildrentoronto.ca/,A pediatric dentist in Scarborough specializing in dental care for children.
Cosentino Dental Care,"3327 Bloor Street West, Etobicoke, ON M8X 1E7",647-361-4959,https://cosentinodentalcare.ca/,An Etobicoke dental practice focused on providing high-quality dental care in a comfortable atmosphere.
"Dr. Duc Nguyen, DDS","221-10720 Yonge St, Richmond Hill, ON L4C 3C9",905-737-7788,,A Richmond Hill dentist offering top-quality family and cosmetic dentistry services.
Dr Law Winston,"295A Queen St E, Brampton, ON L6W 3W9",905-450-5800,http://drwinstonlaw.com/,A Brampton dental office providing general dentistry services.
Keele & Finch Dental Office,"1280 Finch Avenue West, North York, ON M3J 3K6",416-667-7672,https://keeleandfinchdentaloffice.com/,A North York dental office offering quality dental care with a luxurious waiting area.
"Dr. S Fenwick, Dr. R Klein & Associates","619 Kingston Rd W, Ajax, ON L1S 6L8",289-275-2036,,Maxillofacial surgeons in Ajax serving the Durham region with oral surgery services.
Dr Yaw Okraku,"98 Glen Shields Ave, Concord, ON L4K 1T6",905-669-5837,,A dentist in Concord providing general dental services.
Humber River Dentistry,"1340 Wilson Ave, North York, ON M3M 1H8",416-244-5659,http://drhbelman.ca/,A North York dental practice offering general dentistry services.
Dr Shafarenko Dental,"895 Wilson Ave, North York, ON M3K 1E6",416-630-5164,http://www.facebook.com/404955053304286,A North York dental practice providing dental care services.
Alexopoulos George,"16 Four Seasons Pl, Etobicoke, ON M9B 6E5",416-695-8552,https://drgeorgedentistry.ca/,An Etobicoke dentist known for reasonable prices and accommodating patients with or without health plans.
Cabbagetown Dental Centre,"588 Parliament St, Toronto, ON M4X 1P8",416-927-7600,https://cabbagetowndental.com/,"Whether you’re looking for cosmetic dentistry, teeth whitening, implants, or braces, Cabbagetown Dental Centre in Toronto believes in providing you with gentle, caring service."
Dr Robert Elia,"175 York Mills Rd, North York, ON M2L 1K6",416-512-6431,http://www.facebook.com/760044720798682,Dentist serving the North York area.
Mazzatto Anthony Dr,"65 Queen Street West, Toronto, ON M5H 2M5",416-368-9949,,"Dr. Anthony Mazzatto welcomes new patients to his dental office located in downtown Toronto, offering family dental services."
Dr M J Appleby,"Bloor Street West, Toronto, ON M6G 1M4",416-531-5111,https://www.facebook.com/pages/Dr-Appleby/324421624278155,Dentist located on Bloor Street West in Toronto.
Harbour Dental Centre,"8-12 Yonge Street, Toronto, ON M5E 1Z9",416-214-9119,https://dentalcentres.com/,A mix of urban elegance and charm make our location at the base of vibrant Yonge Street among the top medical facilities in Toronto.
Dental Arts At Front-Invisalign Toronto,"350 Front St W, Toronto, ON M5V 3W7",437-747-7613,https://invisalign-toronto.ca/,Dentist and orthodontist offering Invisalign services.
Dental Arts At Lawrence-Invisalign Toronto,"485 Lawrence Ave W, North York, ON M5M 1C6",437-747-3913,,Dentist offering Invisalign services in North York.
Gillanders Scott DDS,"1320-2 Carlton St, Toronto, ON M5B 1J3",416-971-3300,https://carltondentistry.ca/,Dentist providing dental services with great service and highly recommended.
Dr Andrew Kay,"706-2300 Yonge St, Toronto, ON M4P 1E4",416-481-1179,http://drandrewkay.com/,"Yonge Eglinton Periodontics & Implant Surgery, specializing in gum grafts and implant surgery."
Dr. Neil Hahn,"2184A Bloor W, Toronto, ON M6S 1M8",416-766-6383,http://highparkdentalcare.com/,High Park Dental Care providing dental services.
Infusini Frank Dr,"3200 Dufferin St, North York, ON M6A 3B2",416-781-8777,http://www.facebook.com/1607524952855837,Dentist serving the North York area.
Salama Sam Dr,"2425 Bloor St W, Toronto, ON M6S 4W4",416-604-2262,,"A very professional, calm dental experience."
Frackowiak Anne Marie Dr,"2351 Queen St E, Toronto, ON M4E 1H2",416-691-4768,http://drannemarie.com/,"With 3 locations to serve you in the York Durham region, Dr Barbara Frackowiak is a D.D.S. certified orthodontist."
Dr Budning & Warchuk,"305-65 Wellesley St E, Toronto, ON M4Y 1G7",416-923-3325,,Dentist serving the Toronto area.
Altima Coxwell Dental Centre,"704 Coxwell Ave, Toronto, ON M4C 3B9",416-465-9343,https://www.altimadental.com/locations/coxwell,Dentist and emergency dental services provider.
Altima Dental Centre at First Canadian Place,"100 King St, Unit C13, Toronto, ON M5X 2A1",416-368-7226,https://www.altimadental.com/locations/first-canadian-place,Dental clinic and dentist located at First Canadian Place.
Endodontic Specialists - Bay Street,"1235 Bay St., Toronto, ON M5R 3K4",416-963-9988,https://www.rootcanals.ca/site/contact-toronto-endodontist?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,Endodontists specializing in root canal treatments.
Country Dental,"396 Broadway Ave, Toronto, ON M4G 0C3",416-335-7377,http://www.facebook.com/185557445148280,Dental clinic and dentist serving the Toronto area.
Fort York Dentist,"219 Fort York Blvd, Toronto, ON M5V 1B1",647-343-8300,http://www.fortyorkdentist.com/,A dentist offering teeth whitening services in Toronto.
City Oasis Dental,"82 Adelaide St E, Toronto, ON M5C 1K9",647-342-4868,http://www.cityoasisdental.com/,A dental clinic located in downtown Toronto.
Sleep Well,"214-104 Yonge St, Toronto, ON M5C 2Y6",647-288-0331,https://www.altimadental.com/locations/bayview-village,A dental practice operating as Altima Scotia Plaza Dental Centre.
Avalon Dentistry On Roncesvalles,"433 Roncesvalles Ave, Toronto, ON M6R 3B9",416-516-9111,http://www.avalondentistry.ca/,A dental clinic and periodontist serving the Roncesvalles area.
Polar Dental Centre,"417-1 Yorkdale Rd, North York, ON M6A 3A1",416-789-5359,http://www.polardental.com/,A dental centre located in Yorkdale Shopping Centre offering teeth whitening services.
Grenadier Dental Clinic,"2100 Bloor St W, Toronto, ON M6S 1M7",416-920-4976,http://toronto.dentistrydentistsdental.mobi/,A dental clinic offering teeth whitening services in Toronto.
Papefinch Dental,"717 Pape Ave, Toronto, ON M4K 3S9",416-469-2320,https://www.pfdental.ca/,A dentist serving the Pape Avenue area in Toronto.
Palmerston Dental,"622 College St, Toronto, ON M6G 1B6",416-532-1607,http://www.palmerstondentalcare.com/,A dental practice located on College Street in Toronto.
North Park Dental Care,"2355 Keele St, Toronto, ON M6M 4A2",416-245-1616,https://www.torontolaserdentist.com/site/home,A dental care provider offering laser dentistry services.
Curity Dental Care,"947 O'Connor Dr, East York, ON M4B 2S7",416-755-0151,http://www.curitydental.com/,A dental care clinic located in East York.
Farn Ronald Dr,"111 Ellesmere Rd, Scarborough, ON M1R 4C3",416-449-2838,http://www.facebook.com/173750759880280,A dentist located in Scarborough.
Dr Tom Veiledal,"305-1 Palace Pier Crt, Etobicoke, ON M8V 3W9",416-251-4370,,A dentist located in Etobicoke.
Dentistry by the Lake,"2083 Lake Shore Blvd W, Toronto, ON M8V 4G2",416-255-9121,https://dentistrybythelake.ca,A dental practice located by the lake in Toronto.
Dr M Shorser,"2083 Lake Shore Blvd W, Etobicoke, ON M8V 4G2",647-846-7274,,A dentist located in Etobicoke.
Lakeshore Dental. Cosmetic and Implant Dentistry. Dr Izabela Olczyk & Associates,"16 Brookers Lane, Toronto, ON M8V 0A5",416-255-6400,http://www.lakeshoredental.ca,A dental practice offering cosmetic and implant dentistry.
Reyes S Dr,"4-1089 Kingston Rd, Scarborough, ON M1N 4E4",416-691-4146,,A dentist located in Scarborough.
Sunrise Kids Dental,"1089 Kingston Rd, Scarborough, ON M1N 4E4",647-350-7562,http://www.facebook.com/1534718876740897,A dental clinic specializing in children's dentistry.
Upper Beaches Dental,"4-1120 Kingston Rd, Scarborough, ON M1N 1N4",416-682-7017,,A dental clinic located in Scarborough.
Park Lawn Smiles Dental,"6-2183 Lake Shore Blvd W, (Unit Ls), Etobicoke, ON M8V 0J2",647-483-0545,,A dental clinic located in Etobicoke.
Shore Breeze Dental,"2183 Lake Shore Blvd W, Etobicoke, ON M8V 0J2",416-503-1000,,A dental clinic located in Etobicoke.
Dr Yolanda Cruz Dentistry,"101-1 Marine Parade Dr, ON M8V 3Z4",647-951-8888,,A dental practice located in Ontario.
Victoria Crossing Dental Center,"2480 Gerrard St E, Scarborough, ON M1N 4C3",416-690-3444,http://www.victoriadentalcare.ca,A dental clinic and centre located in Scarborough.
Aaron Oh Dentistry Professional,"125 The Queensway, Etobicoke, ON M8Y 1H6",416-255-6300,http://lakeview-dental.ca,A dental practice offering teeth whitening services.
